Start Time: 21-05-2024 17:27:17 	ControllerName: Favourite 	ActionName: GetAllFavourites 	 End Time: 21-05-2024 17:27:18 	Total time: 677.6905
Start Time: 21-05-2024 17:27:30 	ControllerName: Favourite 	ActionName: AddJob 	 End Time: 21-05-2024 17:27:30 	Total time: 26.5018
Start Time: 21-05-2024 17:33:57 	ControllerName: Favourite 	ActionName: GetAllFavourites 	 End Time: 21-05-2024 17:33:58 	Total time: 1042.2472
Start Time: 21-05-2024 17:34:11 	ControllerName: Favourite 	ActionName: AddJob 	 End Time: 21-05-2024 17:34:11 	Total time: 57.7556
Start Time: 21-05-2024 17:55:11 	ControllerName: Favourite 	ActionName: AddJob 	 End Time: 21-05-2024 17:55:11 	Total time: 409.8584
Start Time: 21-05-2024 17:58:35 	ControllerName: Favourite 	ActionName: GetAllFavourites 	 End Time: 21-05-2024 17:58:37 	Total time: 1158.6794
Start Time: 21-05-2024 17:58:48 	ControllerName: Favourite 	ActionName: AddJob 	 End Time: 21-05-2024 17:58:48 	Total time: 49.3125
Start Time: 21-05-2024 18:09:00 	ControllerName: Favourite 	ActionName: GetAllFavourites 	 End Time: 21-05-2024 18:09:01 	Total time: 889.9304
Start Time: 21-05-2024 18:09:11 	ControllerName: Favourite 	ActionName: AddJob 	 End Time: 21-05-2024 18:09:11 	Total time: 44.0747
Start Time: 21-05-2024 18:18:47 	ControllerName: Favourite 	ActionName: AddJob 	 End Time: 21-05-2024 18:18:47 	Total time: 782.48
Start Time: 21-05-2024 18:32:00 	ControllerName: Favourite 	ActionName: GetUserById 	 End Time: 21-05-2024 18:32:03 	Total time: 2380.533
Start Time: 21-05-2024 18:34:22 	ControllerName: Favourite 	ActionName: GetUserById 	 End Time: 21-05-2024 18:34:24 	Total time: 1615.4292
Start Time: 21-05-2024 19:11:15 	ControllerName: Favourite 	ActionName: GetUserById 	 End Time: 21-05-2024 19:11:17 	Total time: 2079.5967
Start Time: 21-05-2024 19:33:32 	ControllerName: Favourite 	ActionName: GetUserById 	 End Time: 21-05-2024 19:33:35 	Total time: 3731.3352
Start Time: 21-05-2024 19:33:46 	ControllerName: Favourite 	ActionName: GetAllFavourites 	 End Time: 21-05-2024 19:33:46 	Total time: 70.5268
Start Time: 21-05-2024 19:33:57 	ControllerName: Favourite 	ActionName: AddJob 	 End Time: 21-05-2024 19:33:58 	Total time: 771.5394
Start Time: 21-05-2024 19:34:03 	ControllerName: Favourite 	ActionName: GetAllFavourites 	 End Time: 21-05-2024 19:34:03 	Total time: 21.0797
Start Time: 21-05-2024 19:47:02 	ControllerName: Favourite 	ActionName: GetAllFavourites 	 End Time: 21-05-2024 19:47:05 	Total time: 2798.9382
Start Time: 21-05-2024 19:47:18 	ControllerName: Favourite 	ActionName: AddFavourite 	 End Time: 21-05-2024 19:47:19 	Total time: 694.9536
Start Time: 21-05-2024 19:47:24 	ControllerName: Favourite 	ActionName: GetAllFavourites 	 End Time: 21-05-2024 19:47:24 	Total time: 128.89
Start Time: 21-05-2024 21:45:56 	ControllerName: Favourite 	ActionName: GetAllFavourites 	 End Time: 21-05-2024 21:45:59 	Total time: 3057.5705
Start Time: 21-05-2024 21:49:35 	ControllerName: Favourite 	ActionName: GetAllFavourites 	 End Time: 21-05-2024 21:49:37 	Total time: 1942.6976
Start Time: 21-05-2024 21:56:38 	ControllerName: Favourite 	ActionName: GetAllFavourites 	 End Time: 21-05-2024 21:56:40 	Total time: 1638.4224
